route,score,tier,rubric_version,estimated,A1,A2,A3,A4,A5,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3
I-590,21.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,1.8,6.7,5.0,1.0,0.0,3.9,0.0,0.0,0.0,2.7
I-595,44.4,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,5.6,2.7,10.0,5.0,5.7,0.0,0.0,0.0,10.0,5.0,0.4
I-605,33.5,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,3.6,10.0,5.0,7.0,0.0,1.1,0.0,0.0,5.0,1.8
I-610,64.3,T2,v1.4,true,10.0,0.0,10.0,0.0,0.0,6.4,0.8,10.0,5.0,5.9,0.0,3.1,0.0,10.0,2.0,1.1
I-630,37.6,T3,v1.4,true,7.5,0.0,7.4,0.0,0.0,0.0,0.8,4.3,5.0,0.7,0.3,5.7,0.0,0.0,4.0,1.8
I-635,49.5,T3,v1.4,true,10.0,0.0,10.0,0.0,0.3,6.2,5.1,1.6,5.0,6.3,0.0,2.0,0.0,0.0,2.0,1.0
I-64,75.3,T1,v1.4,true,4.7,1.1,2.0,0.0,0.0,5.0,9.7,10.0,6.5,6.0,4.8,3.8,5.5,10.0,2.0,4.2
I-640,29.3,T4,v1.4,true,5.7,0.0,1.1,0.0,0.0,6.2,0.8,2.1,5.0,1.1,1.2,5.2,0.0,0.0,0.0,1.0
I-65,60.2,T2,v1.4,true,4.0,1.8,0.9,0.0,1.6,1.5,10.0,10.0,8.0,0.8,1.2,4.2,7.0,0.0,5.4,3.7
I-66,33.1,T3,v1.4,true,5.1,0.0,3.0,0.0,0.0,1.7,3.6,8.2,5.0,6.1,0.0,0.0,0.0,0.0,0.0,0.4
I-664,52.9,T2,v1.4,true,6.2,0.0,9.4,0.0,0.0,0.0,7.1,10.0,5.0,1.7,0.1,2.8,0.0,10.0,0.0,0.6
I-670,30.9,T3,v1.4,true,5.9,0.0,1.5,0.0,0.0,1.7,3.6,5.1,5.0,2.4,0.2,3.1,0.0,0.0,2.0,0.4
I-675,40.9,T3,v1.4,true,6.2,0.0,10.0,0.0,0.0,1.4,0.8,8.0,5.0,5.3,0.0,1.9,0.0,0.0,1.0,1.2
I-676,34.4,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,9.9,10.0,5.0,5.7,0.0,1.4,0.0,0.0,1.0,1.4
I-678,30.9,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,2.7,10.0,5.0,8.5,0.0,0.3,0.0,0.0,1.0,3.5
I-68,31.6,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,5.2,5.1,7.0,5.0,0.9,2.9,4.2,0.0,0.0,0.0,1.3
I-680,57.8,T2,v1.4,true,6.0,0.0,8.4,0.0,0.0,10.0,4.5,7.5,5.0,7.6,0.0,0.0,0.0,0.0,3.3,5.5
